Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
31/01/2026 - 00:00:00;ora;0;0;23;1;11;3.77
30/01/2026 - 23:00:00;ora;5;1;170;4;9;6.2
30/01/2026 - 22:00:00;ora;2;2;306;3;4;8.04
30/01/2026 - 21:00:00;ora;4;4;324;5;2;9.17
30/01/2026 - 20:00:00;ora;21;9;342;0;4;7.98
30/01/2026 - 19:00:00;ora;39;3;476;8;15;6.36
30/01/2026 - 18:00:00;ora;46;5;485;12;15;6.71
30/01/2026 - 17:00:00;ora;27;2;434;24;32;5.39
30/01/2026 - 16:00:00;ora;56;13;538;10;35;6.95
30/01/2026 - 15:00:00;ora;41;20;488;8;15;8.65
30/01/2026 - 14:00:00;ora;73;24;370;11;9;10.16
30/01/2026 - 13:00:00;ora;126;34;419;11;33;8.95
30/01/2026 - 12:00:00;ora;107;46;446;5;39;6.67
30/01/2026 - 11:00:00;ora;80;21;436;16;47;7.4
30/01/2026 - 10:00:00;ora;68;28;516;4;41;6.64
30/01/2026 - 09:00:00;ora;74;24;520;5;19;8.24
30/01/2026 - 08:00:00;ora;78;21;499;15;23;8.73
30/01/2026 - 07:00:00;ora;39;8;482;12;19;8.73
30/01/2026 - 06:00:00;ora;10;0;115;1;0;10.65
30/01/2026 - 05:00:00;ora;1;1;31;1;0;10.71
30/01/2026 - 04:00:00;ora;1;0;21;1;0;12.22
30/01/2026 - 03:00:00;ora;0;0;26;0;0;10.92
30/01/2026 - 02:00:00;ora;0;1;84;0;0;12.36
30/01/2026 - 01:00:00;ora;3;5;228;0;1;11.59
30/01/2026 - 00:00:00;ora;10;3;375;3;11;10.34
29/01/2026 - 23:00:00;ora;10;8;482;5;9;9.85
29/01/2026 - 22:00:00;ora;11;8;417;3;4;9.62
29/01/2026 - 21:00:00;ora;5;0;321;3;1;9.46
29/01/2026 - 20:00:00;ora;11;1;338;3;6;8.83
29/01/2026 - 19:00:00;ora;19;3;393;6;13;7.38
29/01/2026 - 18:00:00;ora;15;4;488;12;25;6.46
29/01/2026 - 17:00:00;ora;20;1;380;10;18;6.27
29/01/2026 - 16:00:00;ora;19;7;458;4;23;7.88
29/01/2026 - 15:00:00;ora;19;4;440;3;23;8.15
29/01/2026 - 14:00:00;ora;40;23;378;2;11;9.75
29/01/2026 - 13:00:00;ora;81;6;325;27;40;9.33
29/01/2026 - 12:00:00;ora;47;21;435;4;54;7.3
29/01/2026 - 11:00:00;ora;43;17;462;4;36;6.58
29/01/2026 - 10:00:00;ora;15;2;304;0;31;5.69
29/01/2026 - 09:00:00;ora;22;10;436;3;28;6.98
29/01/2026 - 08:00:00;ora;0;1;241;6;50;6.99
29/01/2026 - 07:00:00;ora;10;1;390;5;26;8.91
29/01/2026 - 06:00:00;ora;2;0;86;0;1;11.36
29/01/2026 - 05:00:00;ora;0;0;16;0;0;13.12
29/01/2026 - 04:00:00;ora;0;0;7;0;0;11.57
29/01/2026 - 03:00:00;ora;0;0;5;0;0;10
29/01/2026 - 02:00:00;ora;0;0;26;0;0;11.35
29/01/2026 - 01:00:00;ora;3;0;122;0;1;10.51
29/01/2026 - 00:00:00;ora;17;5;316;5;2;11.12
28/01/2026 - 23:00:00;ora;22;4;396;8;10;9.75
28/01/2026 - 22:00:00;ora;19;2;302;2;2;10.1
28/01/2026 - 21:00:00;ora;4;1;208;2;0;10.4
28/01/2026 - 20:00:00;ora;34;9;327;2;7;9.05
28/01/2026 - 19:00:00;ora;47;17;469;4;10;7.89
28/01/2026 - 18:00:00;ora;25;5;524;5;15;7.01
28/01/2026 - 17:00:00;ora;37;6;628;13;24;6.74
28/01/2026 - 16:00:00;ora;56;7;523;5;18;7.82
28/01/2026 - 15:00:00;ora;32;20;486;6;31;8.57
28/01/2026 - 14:00:00;ora;34;3;274;14;68;9.23
28/01/2026 - 13:00:00;ora;24;2;326;19;42;9.28
28/01/2026 - 12:00:00;ora;1;1;199;2;16;7.76
28/01/2026 - 11:00:00;ora;1;0;170;4;15;8.64
28/01/2026 - 10:00:00;ora;0;0;80;1;9;6.93
28/01/2026 - 09:00:00;ora;4;0;396;9;20;8
27/01/2026 - 19:00:00;ora;2;0;2;1;1;7.17
27/01/2026 - 18:00:00;ora;64;14;469;8;17;6.43
27/01/2026 - 17:00:00;ora;54;9;545;6;35;6.07
27/01/2026 - 16:00:00;ora;94;29;453;5;34;7.47
27/01/2026 - 15:00:00;ora;133;41;501;12;35;8.7
27/01/2026 - 14:00:00;ora;93;3;271;21;16;10.47
27/01/2026 - 13:00:00;ora;109;5;268;27;29;10.16
27/01/2026 - 12:00:00;ora;58;14;198;14;33;7
27/01/2026 - 11:00:00;ora;105;37;374;33;44;7.35
27/01/2026 - 10:00:00;ora;87;21;508;11;53;6.93
27/01/2026 - 09:00:00;ora;84;9;431;21;38;7.99
27/01/2026 - 08:00:00;ora;83;14;529;12;33;8.94
27/01/2026 - 07:00:00;ora;48;6;453;19;14;9.19
27/01/2026 - 06:00:00;ora;15;1;123;2;0;10.14
27/01/2026 - 05:00:00;ora;2;1;30;2;1;11.89
27/01/2026 - 04:00:00;ora;1;0;26;0;0;12.44
27/01/2026 - 03:00:00;ora;3;0;22;0;0;12.84
27/01/2026 - 02:00:00;ora;4;2;40;0;0;12.33
27/01/2026 - 01:00:00;ora;5;3;121;1;0;11.25
27/01/2026 - 00:00:00;ora;16;7;329;1;2;11.69
26/01/2026 - 23:00:00;ora;37;8;365;1;4;10.85
26/01/2026 - 22:00:00;ora;21;12;333;5;3;10.36
26/01/2026 - 21:00:00;ora;5;5;241;13;7;9.29
26/01/2026 - 20:00:00;ora;32;5;346;11;4;8.83
26/01/2026 - 19:00:00;ora;34;2;332;1;9;7.42
26/01/2026 - 18:00:00;ora;13;1;368;5;34;5.91
26/01/2026 - 17:00:00;ora;32;4;473;12;26;5.92
