Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
22/01/2026 - 16:00:00;ora;0;1;2;1;0;58.75
22/01/2026 - 15:00:00;ora;1;27;421;13;2;59.14
22/01/2026 - 14:00:00;ora;2;16;362;13;4;62.15
22/01/2026 - 13:00:00;ora;4;31;457;6;1;59.01
22/01/2026 - 12:00:00;ora;0;17;380;7;1;60.34
22/01/2026 - 11:00:00;ora;3;19;366;19;1;59.13
22/01/2026 - 10:00:00;ora;0;6;150;4;2;62.3
