Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
26/01/2026 - 11:00:00;ora;147;171;1233;23;6;11.17
26/01/2026 - 10:00:00;ora;129;180;1260;26;8;10.57
26/01/2026 - 09:00:00;ora;123;142;1351;27;10;10.32
26/01/2026 - 08:00:00;ora;119;144;1516;19;9;10.36
26/01/2026 - 07:00:00;ora;83;124;1068;20;18;14.59
26/01/2026 - 06:00:00;ora;3;12;351;29;14;24.9
26/01/2026 - 05:00:00;ora;5;6;147;10;3;29.26
26/01/2026 - 04:00:00;ora;2;2;58;6;3;32.08
26/01/2026 - 03:00:00;ora;2;0;50;0;2;34.28
26/01/2026 - 02:00:00;ora;2;6;104;3;2;32.79
26/01/2026 - 01:00:00;ora;3;2;205;2;5;30.71
26/01/2026 - 00:00:00;ora;4;3;335;1;4;28.82
25/01/2026 - 23:00:00;ora;6;14;477;5;3;27.64
25/01/2026 - 22:00:00;ora;11;2;546;0;4;26.69
25/01/2026 - 21:00:00;ora;10;14;630;0;4;25.6
25/01/2026 - 20:00:00;ora;5;9;908;0;1;22.08
25/01/2026 - 19:00:00;ora;16;17;621;1;4;24.25
25/01/2026 - 18:00:00;ora;3;8;653;2;2;23.4
25/01/2026 - 17:00:00;ora;11;5;910;1;2;21.81
25/01/2026 - 16:00:00;ora;18;24;608;1;4;24.94
25/01/2026 - 15:00:00;ora;14;40;435;1;2;27.8
25/01/2026 - 14:00:00;ora;7;51;351;1;2;28.56
25/01/2026 - 13:00:00;ora;19;98;1008;1;5;21.44
25/01/2026 - 12:00:00;ora;54;85;1225;3;3;13.15
25/01/2026 - 11:00:00;ora;68;68;1180;2;1;13.44
25/01/2026 - 10:00:00;ora;38;34;1015;1;2;15.38
25/01/2026 - 09:00:00;ora;15;8;704;4;2;20.76
25/01/2026 - 08:00:00;ora;5;2;368;3;2;23.13
25/01/2026 - 07:00:00;ora;4;4;200;2;3;23.35
25/01/2026 - 06:00:00;ora;1;5;121;10;7;28.24
25/01/2026 - 05:00:00;ora;0;3;84;6;3;29.8
25/01/2026 - 04:00:00;ora;0;1;76;3;1;30.44
25/01/2026 - 03:00:00;ora;3;1;150;2;1;31.9
25/01/2026 - 02:00:00;ora;6;6;294;0;1;28.3
25/01/2026 - 01:00:00;ora;15;18;480;0;1;27.6
25/01/2026 - 00:00:00;ora;10;15;765;2;4;24.37
24/01/2026 - 23:00:00;ora;18;25;763;0;1;24.56
24/01/2026 - 22:00:00;ora;20;52;689;0;7;24.86
24/01/2026 - 21:00:00;ora;28;116;716;1;7;25.6
24/01/2026 - 20:00:00;ora;77;189;1193;0;3;20.7
24/01/2026 - 19:00:00;ora;97;146;1099;3;2;19.69
24/01/2026 - 18:00:00;ora;114;130;1114;2;5;16.82
24/01/2026 - 17:00:00;ora;113;92;856;6;7;14.27
24/01/2026 - 16:00:00;ora;66;99;835;6;3;18.91
24/01/2026 - 15:00:00;ora;51;58;756;4;4;22.02
24/01/2026 - 14:00:00;ora;57;56;720;8;4;22.42
24/01/2026 - 13:00:00;ora;108;58;885;13;11;8.27
24/01/2026 - 12:00:00;ora;66;71;923;14;11;6.77
24/01/2026 - 11:00:00;ora;64;51;1141;23;9;8.31
24/01/2026 - 10:00:00;ora;51;36;1153;15;7;10.53
24/01/2026 - 09:00:00;ora;25;27;1117;20;7;16.06
24/01/2026 - 08:00:00;ora;18;12;1071;28;6;13.85
24/01/2026 - 07:00:00;ora;16;8;674;25;14;15.97
24/01/2026 - 06:00:00;ora;6;10;221;20;11;25.77
24/01/2026 - 05:00:00;ora;4;3;110;6;6;28.6
24/01/2026 - 04:00:00;ora;1;2;87;5;1;32.71
24/01/2026 - 03:00:00;ora;2;2;147;7;3;32.89
24/01/2026 - 02:00:00;ora;9;35;248;9;2;31.43
24/01/2026 - 01:00:00;ora;20;48;377;9;2;30.24
24/01/2026 - 00:00:00;ora;27;85;480;13;4;28.76
23/01/2026 - 23:00:00;ora;39;69;508;4;1;27.79
23/01/2026 - 22:00:00;ora;37;99;498;1;8;28.24
23/01/2026 - 21:00:00;ora;72;135;626;1;5;26.62
23/01/2026 - 20:00:00;ora;215;217;1198;0;5;20.39
23/01/2026 - 19:00:00;ora;249;227;1260;2;7;16.56
23/01/2026 - 18:00:00;ora;304;199;1257;8;7;13.63
23/01/2026 - 17:00:00;ora;257;211;1255;8;7;12.9
23/01/2026 - 16:00:00;ora;280;205;1285;19;6;11.89
23/01/2026 - 15:00:00;ora;149;277;1269;28;9;16.3
23/01/2026 - 14:00:00;ora;159;277;1160;22;9;16.87
23/01/2026 - 13:00:00;ora;524;121;1138;22;15;14.75
23/01/2026 - 12:00:00;ora;389;163;1137;14;12;12.77
23/01/2026 - 11:00:00;ora;229;246;1145;32;5;13.23
23/01/2026 - 10:00:00;ora;121;269;1203;15;8;13.16
23/01/2026 - 09:00:00;ora;132;248;1187;27;4;13.63
23/01/2026 - 08:00:00;ora;219;255;1308;23;12;11.65
23/01/2026 - 07:00:00;ora;126;168;985;44;17;14.29
23/01/2026 - 06:00:00;ora;17;56;338;25;8;27.2
23/01/2026 - 05:00:00;ora;4;14;145;11;3;27.34
23/01/2026 - 04:00:00;ora;1;8;50;6;2;31.61
23/01/2026 - 03:00:00;ora;2;5;49;8;3;30.46
23/01/2026 - 02:00:00;ora;3;16;74;15;1;33.46
23/01/2026 - 01:00:00;ora;3;31;161;10;1;32.7
23/01/2026 - 00:00:00;ora;9;72;330;10;2;30.5
22/01/2026 - 23:00:00;ora;15;69;392;6;1;29.45
22/01/2026 - 22:00:00;ora;28;72;489;1;5;27.52
22/01/2026 - 21:00:00;ora;54;115;562;0;4;26.96
22/01/2026 - 20:00:00;ora;167;196;1107;1;4;20
22/01/2026 - 19:00:00;ora;286;179;1280;5;4;15.36
22/01/2026 - 18:00:00;ora;291;177;1191;6;9;12.25
22/01/2026 - 17:00:00;ora;222;203;1200;12;7;11.37
22/01/2026 - 16:00:00;ora;188;189;1256;20;9;11.16
22/01/2026 - 15:00:00;ora;129;235;1231;31;8;13.84
22/01/2026 - 14:00:00;ora;183;204;1100;19;8;15.63
22/01/2026 - 13:00:00;ora;379;117;1115;29;11;12.12
22/01/2026 - 12:00:00;ora;288;161;970;19;10;9.98
22/01/2026 - 11:00:00;ora;189;252;1231;27;6;13.17
22/01/2026 - 10:00:00;ora;53;87;459;7;2;15.44
