Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
26/01/2026 - 10:00:00;ora;100;51;417;12;7;5.32
26/01/2026 - 09:00:00;ora;61;60;418;20;4;5.86
26/01/2026 - 08:00:00;ora;49;42;500;3;3;6.62
26/01/2026 - 07:00:00;ora;30;45;383;9;9;9.36
26/01/2026 - 06:00:00;ora;4;1;241;16;7;11.26
26/01/2026 - 05:00:00;ora;4;1;121;9;0;14.41
26/01/2026 - 04:00:00;ora;1;0;54;9;2;14.42
26/01/2026 - 03:00:00;ora;0;0;35;1;2;17.39
26/01/2026 - 02:00:00;ora;2;0;45;4;1;15.73
26/01/2026 - 01:00:00;ora;0;0;80;2;1;16.94
26/01/2026 - 00:00:00;ora;2;0;133;0;2;15.4
25/01/2026 - 23:00:00;ora;2;1;256;1;1;15.55
25/01/2026 - 22:00:00;ora;0;0;244;0;1;13.18
25/01/2026 - 21:00:00;ora;5;0;320;1;1;12.53
25/01/2026 - 20:00:00;ora;2;2;417;0;1;10.06
25/01/2026 - 19:00:00;ora;12;4;320;0;2;11.02
25/01/2026 - 18:00:00;ora;3;1;289;0;2;9.29
25/01/2026 - 17:00:00;ora;4;2;407;0;0;9.37
25/01/2026 - 16:00:00;ora;17;3;280;0;2;11.37
25/01/2026 - 15:00:00;ora;7;8;216;0;3;13.62
25/01/2026 - 14:00:00;ora;21;4;158;0;1;12.16
25/01/2026 - 13:00:00;ora;38;18;357;3;2;6.31
25/01/2026 - 12:00:00;ora;43;25;468;0;1;4.58
25/01/2026 - 11:00:00;ora;33;20;436;2;1;4.58
25/01/2026 - 10:00:00;ora;22;22;405;0;0;4.98
25/01/2026 - 09:00:00;ora;4;3;348;0;2;6.95
25/01/2026 - 08:00:00;ora;0;0;164;0;3;10.02
25/01/2026 - 07:00:00;ora;1;3;135;1;0;13.23
25/01/2026 - 06:00:00;ora;1;0;82;1;0;15.04
25/01/2026 - 05:00:00;ora;1;0;33;1;0;13.23
25/01/2026 - 04:00:00;ora;3;0;41;4;0;13.1
25/01/2026 - 03:00:00;ora;0;1;72;0;0;15.4
25/01/2026 - 02:00:00;ora;0;0;142;0;0;15.41
25/01/2026 - 01:00:00;ora;2;1;250;0;0;15.02
25/01/2026 - 00:00:00;ora;3;2;379;0;0;12.76
24/01/2026 - 23:00:00;ora;13;2;423;0;0;12.14
24/01/2026 - 22:00:00;ora;14;0;311;0;1;12.42
24/01/2026 - 21:00:00;ora;32;7;345;0;5;10.54
24/01/2026 - 20:00:00;ora;44;5;490;0;3;6.26
24/01/2026 - 19:00:00;ora;41;8;466;3;2;3.77
24/01/2026 - 18:00:00;ora;43;7;482;0;2;3.56
24/01/2026 - 17:00:00;ora;78;12;421;1;4;4.93
24/01/2026 - 16:00:00;ora;60;30;384;0;5;5.8
24/01/2026 - 15:00:00;ora;39;9;351;0;4;8.28
24/01/2026 - 14:00:00;ora;37;15;317;1;5;8.65
24/01/2026 - 13:00:00;ora;41;29;342;0;7;8.3
24/01/2026 - 12:00:00;ora;21;21;391;3;2;3.53
24/01/2026 - 11:00:00;ora;36;43;476;5;4;4.08
24/01/2026 - 10:00:00;ora;34;23;412;4;5;4.1
24/01/2026 - 09:00:00;ora;13;15;431;5;4;4.66
